ID, Method, Class, Line, LineNo
76, void addSelection(org.fdroid.fdroid.data.AppProvider$AppQuerySelection), org.fdroid.fdroid.data.AppProvider$Query, virtualinvoke r0.<org.fdroid.fdroid.data.AppProvider$Query: void addSelection(java.lang.String)>($r2), 318, 
77, void addSelection(org.fdroid.fdroid.data.AppProvider$AppQuerySelection), org.fdroid.fdroid.data.AppProvider$Query, $r2 = virtualinvoke $r1.<org.fdroid.fdroid.data.AppProvider$AppQuerySelection: java.lang.String getSelection()>(), 316, 
78, java.lang.String getSelection(), org.fdroid.fdroid.data.QuerySelection, return r1, 232, 
79, java.lang.String getSelection(), org.fdroid.fdroid.data.QuerySelection, r1 = r0.<org.fdroid.fdroid.data.QuerySelection: java.lang.String selection>, 230, 
80, void addSelection(java.lang.String), org.fdroid.fdroid.data.QueryBuilder, r0.<org.fdroid.fdroid.data.QueryBuilder: java.lang.String selection> = $r1, 295, 
81, boolean naturalJoinToInstalled(), org.fdroid.fdroid.data.AppProvider$AppQuerySelection, return z0, 103, 
82, boolean naturalJoinToInstalled(), org.fdroid.fdroid.data.AppProvider$AppQuerySelection, z0 = r0.<org.fdroid.fdroid.data.AppProvider$AppQuerySelection: boolean naturalJoinToInstalled>, 101, 
83, void naturalJoinToInstalledTable(), org.fdroid.fdroid.data.AppProvider$Query, r0.<org.fdroid.fdroid.data.AppProvider$Query: boolean requiresInstalledTable> = 1, 507, 
84, void naturalJoinToInstalledTable(), org.fdroid.fdroid.data.AppProvider$Query, virtualinvoke r0.<org.fdroid.fdroid.data.AppProvider$Query: void join(java.lang.String;java.lang.String;java.lang.String)>("fdroid_installedApp"; "installed"; $r3), 505, 
85, void naturalJoinToInstalledTable(), org.fdroid.fdroid.data.AppProvider$Query, $r3 = virtualinvoke $r1.<java.lang.StringBuilder: java.lang.String toString()>(), 503, 
86, void naturalJoinToInstalledTable(), org.fdroid.fdroid.data.AppProvider$Query, $r1 = virtualinvoke $r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".id"), 501, 
87, void naturalJoinToInstalledTable(), org.fdroid.fdroid.data.AppProvider$Query, $r1 = virtualinvoke $r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r3), 499, 
88, void naturalJoinToInstalledTable(), org.fdroid.fdroid.data.AppProvider$Query, $r3 = virtualinvoke $r2.<org.fdroid.fdroid.data.AppProvider: java.lang.String getTableName()>(), 497, 
89, void naturalJoinToInstalledTable(), org.fdroid.fdroid.data.AppProvider$Query, $r1 = virtualinvoke $r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("installed.appId = "), 493, 
90, void naturalJoinToInstalledTable(), org.fdroid.fdroid.data.AppProvider$Query, specialinvoke $r1.<java.lang.StringBuilder: void <init>()>(), 491, 
91, void naturalJoinToInstalledTable(), org.fdroid.fdroid.data.AppProvider$Query, $r1 = new java.lang.StringBuilder, 489, 
92, void naturalJoinToInstalledTable(), org.fdroid.fdroid.data.AppProvider$Query, if $z0 != 0 goto label1, 487, 
93, void naturalJoinToInstalledTable(), org.fdroid.fdroid.data.AppProvider$Query, $z0 = r0.<org.fdroid.fdroid.data.AppProvider$Query: boolean requiresInstalledTable>, 485, 
94, void join(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, specialinvoke r0.<org.fdroid.fdroid.data.QueryBuilder: void joinWithType(java.lang.String;java.lang.String;java.lang.String;java.lang.String)>(""; "fdroid_installedApp"; "installed"; $r3), 416, 
95, void <init>(org.fdroid.fdroid.data.AppProvider;org.fdroid.fdroid.data.AppProvider$1), org.fdroid.fdroid.data.AppProvider$Query, specialinvoke r0.<org.fdroid.fdroid.data.AppProvider$Query: void <init>(org.fdroid.fdroid.data.AppProvider)>($r1), 34, 
96, void <init>(org.fdroid.fdroid.data.AppProvider), org.fdroid.fdroid.data.AppProvider$Query, specialinvoke r0.<org.fdroid.fdroid.data.QueryBuilder: void <init>()>(), 18, 
97, void <init>(org.fdroid.fdroid.data.AppProvider), org.fdroid.fdroid.data.AppProvider$Query, r0.<org.fdroid.fdroid.data.AppProvider$Query: org.fdroid.fdroid.data.AppProvider this$0> = $r1, 16, 
98, void <init>(), org.fdroid.fdroid.data.QueryBuilder, r0.<org.fdroid.fdroid.data.QueryBuilder: java.lang.StringBuilder tables> = $r3, 29, 
99, void <init>(), org.fdroid.fdroid.data.QueryBuilder, r0.<org.fdroid.fdroid.data.QueryBuilder: specialinvoke $r3.<java.lang.StringBuilder: void <init>(java.lang.String)>($r1), 27, 
100, void <init>(), org.fdroid.fdroid.data.QueryBuilder, $r1 = virtualinvoke r0.<org.fdroid.fdroid.data.QueryBuilder: java.lang.String getRequiredTables()>(), 25, 
101, void <init>(), org.fdroid.fdroid.data.QueryBuilder, $r3 = new java.lang.StringBuilder, 23, 
102, void <init>(), org.fdroid.fdroid.data.QueryBuilder, r0.<org.fdroid.fdroid.data.QueryBuilder: java.util.List fields> = $r2, 21, 
103, void <init>(), org.fdroid.fdroid.data.QueryBuilder, specialinvoke $r2.<java.util.ArrayList: void <init>()>(), 19, 
104, void <init>(), org.fdroid.fdroid.data.QueryBuilder, $r2 = new java.util.ArrayList, 17, 
105, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, return $r2, 382, 
106, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r2 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.String toString()>(), 380, 
107, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("._id )"), 378, 
108, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("fdroid_repo"), 376, 
109, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".repo = "), 374, 
110, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r3), 372, 
111, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" ON ( "), 370, 
112, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("fdroid_repo"), 368, 
113, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" LEFT JOIN "), 366, 
114, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".id ) "), 364, 
115, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r2), 362, 
116, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".id = "), 360, 
117, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r3), 358, 
118, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" ON ( "), 356, 
119, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r3), 354, 
120, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" LEFT JOIN "), 352, 
121, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r2), 350, 
122, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, specialinvoke $r4.<java.lang.StringBuilder: void <init>()>(), 348, 
123, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r4 = new java.lang.StringBuilder, 346, 
124, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r3 = virtualinvoke $r1.<org.fdroid.fdroid.data.AppProvider: java.lang.String getApkTableName()>(), 344, 
125, java.lang.String getRequiredTables(), org.fdroid.fdroid.data.AppProvider$Query, $r2 = virtualinvoke $r1.<org.fdroid.fdroid.data.AppProvider: java.lang.String getTableName()>(), 340, 
126, java.lang.String getApkTableName(), org.fdroid.fdroid.data.AppProvider, return "fdroid_apk", 1657, 
127, org.fdroid.fdroid.data.AppProvider$AppQuerySelection add(org.fdroid.fdroid.data.AppProvider$AppQuerySelection), org.fdroid.fdroid.data.AppProvider$AppQuerySelection, return r2, 92, 
128, org.fdroid.fdroid.data.AppProvider$AppQuerySelection add(org.fdroid.fdroid.data.AppProvider$AppQuerySelection), org.fdroid.fdroid.data.AppProvider$AppQuerySelection, virtualinvoke r2.<org.fdroid.fdroid.data.AppProvider$AppQuerySelection: org.fdroid.fdroid.data.AppProvider$AppQuerySelection requireNaturalInstalledTable()>(), 89, 
129, org.fdroid.fdroid.data.AppProvider$AppQuerySelection add(org.fdroid.fdroid.data.AppProvider$AppQuerySelection), org.fdroid.fdroid.data.AppProvider$AppQuerySelection, if $z0 != 0 goto label1, 82, 
